COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,PERSONS,DEATHS,CASES
Rwanda,26106436,9177634,8954048,7,5562376,1467,132533
Saba,4471,1687,1657,,1127,2,732
Saint Helena,7892,4361,3531,1,,0,2013
Saint Kitts and Nevis,64225,33794,26944,3,3465,46,6548
Saint Lucia,133286,65297,60129,5,7860,405,29550
Saint Vincent and the Grenadines,72875,37285,31406,5,4184,116,9452
Samoa,440413,191071,177489,2,71853,29,15946
San Marino,69338,26357,23633,2,19348,119,21452
Sao Tome and Principe,227603,127399,103440,2,32393,77,6263
Saudi Arabia,67839503,26892699,25290533,10,15656271,9387,819570
Senegal,2469499,1563871,1150222,3,499879,1968,88630
Serbia,6717622,3396340,3321282,5,0,17169,2393928
Seychelles,215396,85492,81295,4,42875,170,47141
Sierra Leone,4334743,3179330,2467557,2,,125,7752
Singapore,14695435,5161367,5120432,4,4413636,1659,2046123
Sint Eustatius,4257,1791,1686,,780,5,1196
Sint Maarten,65324,29788,26515,3,9021,87,10908
Slovakia,7176980,2838635,2790217,6,1683402,20543,1850928
Slovenia,2999524,1233013,1202504,5,654976,8389,1223928
Solomon Islands,540361,315969,212173,4,14725,153,21544
Somalia,7198588,6203372,5002737,11,,1361,27225
South Africa,37679458,23759835,20830902,2,3753184,102246,4024553
South Sudan,2169761,2119471,2077492,2,,138,17780
Spain,103064170,41287568,37488975,4,26001927,114641,13462593
Sri Lanka,40008219,17132251,14693728,6,8182240,16773,670966
Sudan,8179010,6651268,4536964,11,50234,4965,63424
Suriname,554588,267820,237879,5,48889,1386,81158
Sweden,22750237,7504601,7366812,5,5525594,20562,2608289
Switzerland,15844749,6092913,5718238,4,4093370,13613,4181261
Syrian Arab Republic,4777586,3050850,2105113,11,75881,3163,57340
Tajikistan,15441380,5282863,5120562,6,4951036,125,17786
Thailand,142635014,57005497,53486086,8,32143431,32882,4687281
The United Kingdom,151248820,53806963,50745901,3,,192682,23855526
Timor-Leste,1842717,857381,755292,4,230044,138,23297
Togo,3295699,2169182,1440469,1,134899,287,39256
Tokelau,4924,1494,1494,1,968,0,0
Tonga,201685,87080,76604,2,37475,12,16182
Trinidad and Tobago,1581598,753588,717347,5,168870,4241,184524
Tunisia,13149434,7208922,6383981,10,1247709,29257,1146044
Turkey,152405372,57932853,53167127,3,,#N/A,#N/A
Turkmenistan,13514000,3728000,3689000,7,3340000,0,0
Turks and Caicos Islands,72837,32338,30288,1,7272,36,6380
