COUNTRY,TVAC,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,DEATHS,CASES,AVERAGEVAC
United Arab Emirates,24922054,9991089,9792266,11,2347,1033770,2265641
United Republic of Tanzania,28091873,23687636,21723603,3,845,39679,9363957
United States of America,620131694,262004715,223464463,4,1054617,95726462,155032923
Uruguay,8741748,3001660,2893822,3,7510,988527,2913916
Uzbekistan,69218586,21037140,17201955,8,1637,244450,8652323
Vanuatu,292146,144290,131300,3,14,11976,97382
Venezuela (Bolivarian Republic of),37860994,22157232,14287370,6,5820,545469,6310165
Viet Nam,260246761,90043685,84389728,6,43159,11495231,43374460
Wallis and Futuna,16782,6592,6989,1,7,761,16782
Yemen,1065395,861625,604202,11,2158,11939,96854
Zambia,9315275,8233510,6043203,3,4017,333644,3105091
Zimbabwe,12582801,6533054,4887515,4,5606,257893,3145700
